# Quarkdown v2.5.1 @QFunction public inventory; generated from the pinned source sweep.
# Columns: public-name\texact-public-signature\tpinned-source\t#151-disposition/owner\t#147-status
# Binding annotations are retained in parameter markers: [injected], [body],
# [spread], [likely-named], and [likely-body]. `inferred` preserves a source
# declaration without an explicit Kotlin return type.
listfiles	listfiles(context[injected]: Context, path: String, directories: Boolean = true, recursive[likely-named]: Boolean = false, pattern[likely-named]: String? = null, fullpath: Boolean = true, sortby: FileSorting = FileSorting.NONE, order[likely-named]: Ordering = Ordering.ASCENDING) -> IterableValue<StringValue>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L208-L217	#155	NOT_APPLICABLE
filename	filename(context[injected]: Context, path: String, extension: Boolean = true) -> StringValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L265-L269	#155	NOT_APPLICABLE
json	json(context[injected]: Context, path: String) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L321-L324	#155	NOT_APPLICABLE
csv	csv(context[injected]: Context, path: String, mode[likely-named]: CsvParsingMode = CsvParsingMode.PLAIN, caption[likely-named]: InlineMarkdownContent? = null, ref: String? = null) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Data.kt#L342-L348	#155	NOT_APPLICABLE
dictionary	dictionary(dictionary[likely-body]: Map<String, OutputValue<*>>) -> DictionaryValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Dictionary.kt#L36-L38	#151	SUPPORTED_SEMANTICS
get	get(dictionary: Map<String, OutputValue<*>>, key: String, orelse: DynamicValue = DynamicValue(NOT_FOUND)) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Dictionary.kt#L60-L64	#151	SUPPORTED_SEMANTICS
doctype	doctype(context[injected]: MutableContext, type: DocumentType? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L109-L112	#152	NOT_APPLICABLE
docname	docname(context[injected]: MutableContext, name: String? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L144-L147	#152	NOT_APPLICABLE
docdescription	docdescription(context[injected]: MutableContext, description: String? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L178-L181	#152	NOT_APPLICABLE
docauthor	docauthor(context[injected]: MutableContext, author: String? = null) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L211-L214	#152	NOT_APPLICABLE
